# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x0474d1d1f9fb6b6db80b150512dbf12f6564c49e 2 106 696 696 8008
0x04751769107cdc17b4a664badd436a5019ef4a7e 2 128 606 606 2470
0x0478ca11c68c42d10e716ab19d28915451cb5fdb 2 94 232 232 10432
0x049249e0dcdd3424b50ebbbabd8cd93d644b94e6 3 163 264 264 5168
0x0494317ae74960349ca5f6cf030334061a891da1 3 150 589 589 3336
0x049a5bf874f241d94232137ef728a9c7dd0d7550 5 229 215 215 4094
0x049c194043ccf955af6d7a2fc58e683dd6f0fd10 2 228 312 312 4112
0x049ca649c977ec36368f31762ff7220db0aae79f 8 556 331 331 16400
0x04b010c0706f7bfb741678919a676d1a0e4f1174 5 312 518 518 7306
0x04b14c31c9fe219a16c62686cac58b4f702ce73f 2 106 696 696 8008
0x04b85fc469d92d20f6271761e437fe1df84fe160 2 110 257 257 4990
0x04bc7647a545cc8eee31280b3e3eb3b2e8b2d978 1 76 354 354 14938
0x04bf44a0159f900328173edc39eb472ec1c2faa9 4 205 448 448 4796
0x04bfe07dc6afcc74e65f59c7479fa348b55f9dc1 7 541 550 550 5930
0x04c39e68215a42d697d72ffcd8345a0155003b25 2 106 696 696 8008
0x04c4aa08b093d7e3cbfcd3917758816afb4d32fe 3 181 313 313 5914
0x04c62019ab478bff5874e7b7d9bc84fcf7e30025 5 334 175 175 10552
0x04cac0fa29d8d01ef54101ef3a2a38992d53a4c5 4 183 451 451 4520
0x04ce90abf0afc724a8801e0bd9346a48e45b8252 4 183 451 451 4520
0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f 8 643 357 357 2888
0x04ed15fa8c47778589c1bf3451e0de25c1eed3ae 8 376 1720 1720 11354
0x050726187780a34ddff0e7d636dd3b0aef23d962 4 321 634 634 9468
0x050a6f7bf57b73ed05eb0e6b5e828f260cec7a53 2 106 696 696 8008
0x050b00233beb3a6c4459ccb905457ff28a5591ba 1 53 36 36 3942
0x050fb91578b267a8480c07e26944efdc74a90a3d 3 159 981 981 15720
0x051979809a083d4779abcd9b2ef9895f62590ba3 3 202 309 309 10644
0x051ca14c9e41e27017935f2ffb7eedc69eb5f685 3 150 227 227 6070
0x05277ed291ddbe589c423ec62fa0717494ecc5b5 3 213 186 186 6504
0x05283847acd74d0243a9304a3bed0dd09cb455d7 4 269 442 442 3466
0x052874643c388bb2ae101f25e41e1f1778f61364 3 171 843 843 9868
0x053ab76c515b4b160a744511157d746aeb74b63c 2 106 696 696 8008
0x054a543fdcd9db5513d51dca3b092d61f57fd709 10 693 385 385 16792
0x054add633767d6bc891ef2a22d4dcd31c3972c41 3 158 209 209 5156
0x054e9291b41eb084cba6da0a608e4c91e5d28ef3 1 64 26 26 360
0x055340fc7c3dfbb1a3886605c25e83e6b7fb93d8 3 170 551 551 12574
0x05633d03d51da27fbf78cc88376ed74124529c43 6 308 691 691 7664
0x056cb4818bc9aa8b34030a13e4d4b7de01133af1 2 106 700 700 8060
0x057084870e298fe07ead3a7b515209dbf545a4ef 1 76 45 45 17736
0x057f4815bd0a1cf026301f82cd5a96c906dea9c6 12 707 553 553 18260
0x057ffb90a9827d4fd8d60c74630a459f126dc43b 3 163 264 264 5756
0x0583fd00ff90f890ffe54693bdc7e59d48701cd7 4 183 451 451 4658
0x0584174df3a25dbd6dd34612a69f72a4ad6bced3 1 53 419 419 17092
0x0587eb954974000cc6588de6702b3beaeb0215f4 7 462 519 519 5614
0x058e2b2c89fe0da6b602396eea6690eee588c15a 3 213 186 186 6396
0x0593cd364c052091e1ea1a1cca085628180b2ed8 2 129 636 636 5724
0x059468db0af9a1c0079ee0fc1d5773aec585cc72 3 163 264 264 7498
0x0597b13926dca1e1a54ae59a6aedbc21876a49c3 3 158 209 209 7322
0x059cfa8630065eaef7db234745407c9b5175e0c7 4 225 515 515 3400
